*;Federation management
Connect;connect
Disconnect;disconnect
Connection Lost;connectionLost
Create Federation Execution;createFederationExecution
Destroy Federation Execution;destroyFederationExecution
List Federation Executions;listFederationExecutions
Report Federation Executions;reportFederationExecutions
Join Federation Execution;joinFederationExecution
Resign Federation Execution;resignFederationExecution
Register Federation Synchronization Point;registerFederationSynchronizationPoint
Confirm Synchronization Point Registration;confirmSynchronizationPointRegistration|synchronizationPointRegistrationFailed|synchronizationPointRegistrationSucceeded
Announce Synchronization Point;announceSynchronizationPoint
Synchronization Point Achieved;synchronizationPointAchieved
Federation Synchronized;federationSynchronized
Request Federation Save;requestFederationSave
Initiate Federate Save;initiateFederateSave
Federate Save Begun;federateSaveBegun
Federate Save Complete;federateSaveComplete|federateSaveNotComplete
Federation Saved;federationSaved|federationNotSaved
Abort Federation Save;abortFederationSave
Query Federation Save Status;queryFederationSaveStatus
Federation Save Status Response;federationSaveStatusResponse
Request Federation Restore;requestFederationRestore
Confirm Federation Restoration Request;confirmFederationRestorationRequest|requestFederationRestoreFailed|requestFederationRestoreSucceeded
Federation Restore Begun;federationRestoreBegun
Initiate Federate Restore;initiateFederateRestore
Federate Restore Complete;federateRestoreComplete|federateRestoreNotComplete
Federation Restored;federationRestored|federationNotRestored
Abort Federation Restore;abortFederationRestore
Query Federation Restore Status;queryFederationRestoreStatus
Federation Restore Status Response;federationRestoreStatusResponse
*;Declaration management
Publish Object Class Attributes;publishObjectClassAttributes
Unpublish Object Class Attributes;unpublishObjectClassAttributes|unpublishObjectClass
Publish Interaction Class;publishInteractionClass
Unpublish Interaction Class;unpublishInteractionClass
Subscribe Object Class Attributes;subscribeObjectClassAttributes
Unsubscribe Object Class Attributes;unsubscribeObjectClassAttributes|unsubscribeObjectClass
Subscribe Interaction Class;subscribeInteractionClass|subscribeInteractionClassPassively
Unsubscribe Interaction Class;unsubscribeInteractionClass
Start Registration For Object Class;startRegistrationForObjectClass
Stop Registration For Object Class;stopRegistrationForObjectClass
Turn Interactions On;turnInteractionsOn
Turn Interactions Off;turnInteractionsOff
*;Object management
Reserve Object Instance Name;reserveObjectInstanceName
Object Instance Name Reserved;objectInstanceNameReserved|objectInstanceNameReservationSucceeded|objectInstanceNameReservationFailed
Release Object Instance Name;releaseObjectInstanceName
Reserve Multiple Object Instance Names;reserveMultipleObjectInstanceNames
Multiple Object Instance Names Reserved;multipleObjectInstanceNamesReserved|multipleObjectInstanceNameReservationFailed|multipleObjectInstanceNameReservationSucceeded
Release Multiple Object Instance Names;releaseMultipleObjectInstanceNames
Register Object Instance;registerObjectInstance
Discover Object Instance;discoverObjectInstance
Update Attribute Values;updateAttributeValues
Reflect Attribute Values;reflectAttributeValues
Send Interaction;sendInteraction
Receive Interaction;receiveInteraction
Delete Object Instance;deleteObjectInstance
Remove Object Instance;removeobjectinstance
Local Delete Object Instance;localDeleteObjectInstance
Attributes In Scope;attributesInScope
Attributes Out Of Scope;attributesOutOfScope
Request Attribute Value Update;requestAttributeValueUpdate
Provide Attribute Value Update;provideAttributeValueUpdate
Turn Updates On For Object Instance;turnUpdatesOnForObjectInstance
Turn Updates Off For Object Instance;turnUpdatesOffForObjectInstance
Request Attribute Transportation Type Change;requestAttributeTransportationTypeChange
Confirm Attribute Transportation Type Change;confirmAttributeTransportationTypeChange
Query Attribute Transportation Type;queryAttributeTransportationType
Report Attribute Transportation Type;reportAttributeTransportationType
Request Interaction Transportation Type Change;requestInteractionTransportationTypeChange
Confirm Interaction Transportation Type Change;confirmInteractionTransportationTypeChange
Query Interaction Transportation Type;queryInteractionTransportationType
Report Interaction Transportation Type;reportInteractionTransportationType
*;Ownership management
Unconditional Attribute Ownership Divestiture;unconditionalAttributeOwnershipDivestiture
Negotiated Attribute Ownership Divestiture;negotiatedAttributeOwnershipDivestiture
Request Attribute Ownership Assumption;requestAttributeOwnershipAssumption
Request Divestiture Confirmation;requestDivestitureConfirmation
Confirm Divestiture;confirmDivestiture
Attribute Ownership Acquisition Notification;attributeOwnershipAcquisitionNotification
Attribute Ownership Acquisition;attributeOwnershipAcquisition
Attribute Ownership Acquisition If Available;attributeOwnershipAcquisitionIfAvailable
Attribute Ownership Unavailable;attributeOwnershipUnavailable
Request Attribute Ownership Release;requestAttributeOwnershipRelease
Attribute Ownership Release Denied;attributeOwnershipReleaseDenied
Attribute Ownership Divestiture If Wanted;attributeOwnershipDivestitureIfWanted
Cancel Negotiated Attribute Ownership Divestiture;cancelNegotiatedAttributeOwnershipDivestiture
Cancel Attribute Ownership Acquisition;cancelAttributeOwnershipAcquisition
